"respid","hCountry","countrycode","Q9_ees_numeric","lrgen_selfdescription","econ_interven","redistribution","sociallifestyle","civlib_laworder","immigrate_policy_reversed","environment","immigrate_policy","econ_interven_factor","environment_factor","redistribution_factor","civlib_laworder_factor","immigrate_policy_factor","sociallifestyle_factor","prediction_lm_lrgen1","prediction_lm_lrgen2","prediction_polr_lrgen1","prediction_polr_lrgen2","prediction_rf_lrgen1","prediction_rf_lrgen2","prediction_rf_lrgen2_unrounded","prediction_lm_lrecon1","prediction_polr_lrecon1","prediction_rf_lrecon1","prediction_rf_lrecon2","prediction_rf_lrecon2_unrounded","prediction_lm_galtan1","prediction_polr_galtan1","prediction_rf_galtan1","prediction_rf_galtan2","prediction_rf_galtan2_unrounded"
"15666","2","1056",1056111,5,2,2,1,2,2,2,8,"2","2","2","2","8","1",3,4,3,3,3,3,3.03883937010513,3,2,2,3,2.54038795026812,3,5,3,3,2.85931347599954
"15696","2","1056",1056601,7,5,0,2,5,4,5,6,"5","5","0","5","6","2",4,4,4,4,4,4,4.05934667535065,3,3,5,4,3.89295422198909,4,5,3,4,3.79252012267847
"15700","2","1056",1056322,3,6,3,0,0,7,4,3,"6","4","3","0","3","0",4,4,3,3,4,4,4.0515336771504,5,5,4,5,5.11981335763709,1,1,0,1,0.812314816094869
"15701","2","1056",1056111,5,5,5,8,6,2,3,8,"5","3","5","6","8","8",6,6,7,6,5,6,6.09228681005496,5,5,5,5,5.23817279625127,7,7,8,8,7.54919955459204
"15710","2","1056",1056325,7,6,7,8,7,8,5,2,"6","5","7","7","2","8",6,6,7,6,7,7,6.60664603817552,7,7,7,7,6.80915890526097,6,5,7,6,6.1393165535474
"15718","2","1056",1056327,7,4,8,0,6,7,0,3,"4","0","8","6","3","0",5,5,5,5,3,5,4.59579106152378,6,6,5,4,4.19024950859,3,5,0,2,2.4631821419854
"15722","2","1056",NA,NA,4,5,0,5,2,2,8,"4","2","5","5","8","0",5,6,5,6,5,5,4.68791652673221,5,5,5,5,5.08652046784251,3,6,2,3,3.20771015143038
"15747","2","1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15754","2","1056",NA,0,0,0,0,1,8,0,2,"0","0","0","1","2","0",1,1,1,1,1,1,1.44981345217535,1,1,0,1,1.25384706979733,1,1,0,1,1.16657253316506
"15756","2","1056",1056322,4,6,4,6,5,5,3,5,"6","3","4","5","5","6",6,5,5,5,6,6,5.54177094015683,5,5,6,6,5.9468204662775,6,5,5,6,5.54639444808646
"15760","2","1056",1056335,NA,NA,0,0,5,5,0,5,NA,"0","0","5","5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,3,2.6885224744579
"15782","2","1056",1056327,3,NA,4,0,5,4,5,6,NA,"5","4","5","6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,3,2.85293233745757
"15806","2","1056",1056522,6,6,6,6,7,5,5,5,"6","5","6","7","5","6",6,6,7,7,6,6,6.19229783038096,6,7,6,6,6.40551171074612,6,5,6,7,6.55315151156823
"15824","2","1056",1056111,5,0,0,0,5,10,0,0,"0","0","0","5","0","0",1,1,1,1,1,1,1.18595015302914,1,1,0,1,1.25384706979733,2,2,0,2,1.51157303372224
"15988","2","1056",1056601,2,5,3,0,0,10,7,0,"5","7","3","0","0","0",3,3,2,2,4,4,4.01216098897086,5,5,5,5,4.97906050450707,0,0,0,1,0.701834812350845
"16014","2","1056",1056427,5,6,6,7,4,5,6,5,"6","6","6","4","5","7",6,6,6,6,6,6,5.93565102054186,6,7,6,6,6.44425686058097,6,3,6,6,6.15518143525321
"16203","2","1056",1056335,6,5,3,0,3,7,4,3,"5","4","3","3","3","0",4,4,4,4,4,4,3.85080152385071,5,4,5,5,4.80013521766044,2,2,0,1,1.48486348134372
"16204","2","1056",1056913,6,6,6,6,6,6,6,4,"6","6","6","6","4","6",6,6,6,6,6,6,6.40944209913547,6,7,6,6,6.44425686058097,6,5,5,6,5.73335646475304
"16211","2","1056",NA,7,NA,NA,0,2,10,3,0,NA,"3",NA,"2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0.996176911925069
"16239","2","1056",1056335,6,8,8,8,7,8,8,2,"8","8","8","7","2","8",7,7,7,7,8,7,7.14722547776242,8,8,8,8,7.7977472505317,6,5,7,6,6.1393165535474
"16253","2","1056",1056711,10,4,NA,2,0,NA,8,NA,"4","8",NA,"0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16285","2","1056",1056322,2,5,0,10,9,8,0,2,"5","0","0","9","2","10",5,4,5,4,3,4,4.19569246135604,3,3,2,3,2.92547236506552,8,5,10,7,6.67262198673652
"16392","2","1056",1056327,6,6,3,6,6,3,8,7,"6","8","3","6","7","6",6,6,6,6,4,5,5.14745737221972,5,5,4,5,5.21411361172514,6,6,6,6,6.15955123970406
"16453","2","1056",1056322,4,6,4,6,6,10,3,0,"6","3","4","6","0","6",5,4,5,4,6,6,5.54482096488534,5,5,6,6,5.9468204662775,5,2,10,6,6.31138739940512
"16497","2","1056",NA,5,5,5,3,5,3,4,7,"5","4","5","5","7","3",6,6,5,6,5,5,5.02716765096276,5,5,5,6,5.55783346038136,5,5,4,4,4.08148310981723
"16517","2","1056",1056111,5,7,7,0,0,10,9,0,"7","9","7","0","0","0",4,4,4,4,5,5,4.94606585771477,7,8,7,7,7.37625219808545,0,0,0,1,0.701834812350845
"16524","2","1056",1056322,3,4,3,4,4,5,3,5,"4","3","3","4","5","4",4,4,4,4,4,4,4.26545993540523,4,4,4,4,3.92237929484831,4,3,5,5,4.67998889725845
"16540","2","1056",1056421,7,7,7,0,4,10,4,0,"7","4","7","4","0","0",5,5,5,5,6,6,5.73830494922968,7,7,7,7,7.15183458334519,1,1,0,1,1.42690219029935
"16549","2","1056",1056913,5,6,5,8,5,0,0,10,"6","0","5","5","10","8",7,7,7,7,9,7,6.79407285353424,5,5,5,5,5.21735601605196,8,8,9,8,8.23843966111197
"16569","2","1056",1056112,4,3,4,4,4,3,0,7,"3","0","4","4","7","4",5,5,5,4,4,4,4.26305682853302,4,4,3,4,3.64268564135498,5,5,5,5,5.28415696224223
"16676","2","1056",1056711,10,NA,10,0,10,10,10,0,NA,"10","10","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,0,2,1.88968824920211
"16714","2","1056",1056913,7,6,0,5,5,0,6,10,"6","6","0","5","10","5",6,6,5,5,6,6,5.73025794687636,4,4,5,5,4.54354420851169,6,8,5,7,7.02117271125996
"16732","2","1056",NA,5,4,2,7,6,4,5,6,"4","5","2","6","6","7",5,5,5,5,4,5,4.57348326862687,4,4,4,4,4.08575905440946,7,5,6,7,6.54118359771942
"16864","2","1056",NA,10,3,4,7,3,0,2,10,"3","2","4","3","10","7",5,5,5,5,4,6,5.95350007456248,4,4,4,4,4.16002034023211,7,5,8,7,7.21642932727927
"16913","2","1056",NA,0,NA,3,0,0,10,0,0,NA,"0","3","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0.701834812350845
"16924","2","1056",1056711,7,6,7,8,6,10,5,0,"6","5","7","6","0","8",6,5,6,5,7,6,6.44459786543427,7,7,7,7,6.80915890526097,6,2,8,5,5.32297486696259
"16985","2","1056",1056711,9,8,10,9,9,10,9,0,"8","9","10","9","0","9",8,7,8,8,8,8,7.5410449186689,9,9,8,8,8.26899999046808,7,5,9,6,6.02123336500639
"17093","2","1056",1056111,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17119","2","1056",1056335,6,5,3,5,2,4,3,6,"5","3","3","2","6","5",5,4,5,4,4,5,4.83274748348727,4,4,5,5,4.57483403467602,5,3,5,5,5.17166885988214
"17164","2","1056",NA,8,7,8,7,10,7,8,3,"7","8","8","10","3","7",7,7,8,8,8,7,7.49274260921992,8,8,8,7,7.47190454821178,7,7,10,8,8.06169748358174
"17357","2","1056",1056427,10,10,10,0,4,10,10,0,"10","10","10","4","0","0",7,7,7,7,5,7,6.77919851916922,10,10,10,9,9.29416072412931,1,1,0,1,1.42690219029935
"17368","2","1056",1056322,2,0,2,0,3,1,0,9,"0","0","2","3","9","0",3,4,3,3,2,3,2.51225883260728,2,2,2,2,2.0705922184667,3,5,1,3,2.62546227038579
"17509","2","1056",1056913,10,4,7,7,7,0,10,10,"4","10","7","7","10","7",7,7,8,8,9,8,7.5908955788958,6,7,7,7,6.55135054927684,8,9,8,8,7.97904198013151
"18780","2","1056",1056711,5,5,5,0,0,0,5,10,"5","5","5","0","10","0",5,5,5,5,5,6,5.62623715605668,5,5,5,6,5.67037365764015,3,3,0,2,2.26033155613895
"18791","2","1056",1056913,8,6,6,NA,5,5,0,5,"6","0","6","5","5",NA,NA,6,NA,6,NA,NA,NA,6,6,5,6,5.63216710429298,NA,5,NA,NA,NA
"18806","2","1056",1056427,8,4,5,10,7,3,5,7,"4","5","5","7","7","10",6,6,7,6,6,6,5.68621328065928,5,5,5,5,5.23428550396079,8,7,10,8,8.01207366228837
"18811","2","1056",1056522,8,0,0,6,10,10,6,0,"0","6","0","10","0","6",3,3,2,2,0,3,2.52538961632012,1,1,0,1,1.45439820084311,6,5,10,6,6.43022292283547
"18821","2","1056",1056335,4,5,0,0,5,8,2,2,"5","2","0","5","2","0",3,3,3,3,4,3,3.17756068899919,3,3,3,3,3.3912680095898,2,3,0,2,1.5755816797673
"18831","2","1056",1056421,5,6,7,0,0,1,0,9,"6","0","7","0","9","0",5,6,5,6,5,5,5.47720149186294,6,7,5,6,5.92964071158931,2,3,0,2,1.90698724897243
"18835","2","1056",1056913,8,6,7,0,9,1,4,9,"6","4","7","9","9","0",7,8,7,8,8,7,6.93120003133738,6,7,7,7,6.62656248614499,5,9,9,7,6.76598612809186
"18840","2","1056",NA,5,5,5,0,5,5,2,5,"5","2","5","5","5","0",5,5,5,5,5,5,4.60786568817768,5,5,5,5,5.07545437746879,3,5,2,3,2.6885224744579
"18850","2","1056",1056427,10,5,4,10,2,0,7,10,"5","7","4","2","10","10",6,6,7,6,9,7,6.88418476697178,5,5,5,5,5.00488610753022,8,5,10,8,7.71063135053672
"18855","2","1056",1056711,9,6,6,NA,NA,10,10,0,"6","10","6",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,7,6.66083496662791,NA,NA,NA,NA,NA
"18857","2","1056",1056427,NA,5,6,2,5,4,2,6,"5","2","6","5","6","2",5,6,5,6,6,5,5.40698003643489,5,5,6,6,5.68005138582068,4,5,3,4,3.79252012267847
"18862","2","1056",NA,5,5,5,5,5,5,5,5,"5","5","5","5","5","5",5,5,5,5,5,5,5.15060863986186,5,5,5,6,5.67037365764015,5,5,5,5,5.09518933055154
"18866","2","1056",1056913,5,7,9,1,9,2,7,8,"7","7","9","9","8","1",8,8,8,9,8,7,7.35711081956637,8,8,8,8,7.90368497235444,5,9,5,5,5.23953914434477
"18882","2","1056",1056913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18887","2","1056",1056111,0,5,4,0,3,10,3,0,"5","3","4","3","0","0",3,3,3,3,4,4,4.08219949792613,5,5,5,5,4.79174055723118,1,1,0,1,1.06849486358753
"18892","2","1056",1056322,5,5,5,8,5,5,7,5,"5","7","5","5","5","8",6,5,6,5,5,6,5.81211701792627,6,5,5,6,5.64527018979271,7,5,8,7,7.07202735163713
"18897","2","1056",1056421,7,10,10,0,10,7,10,3,"10","10","10","10","3","0",8,9,8,9,10,8,8.14108249498121,10,10,10,9,9.29416072412931,4,7,0,3,2.79455371166993
"18922","2","1056",NA,4,6,1,6,8,2,2,8,"6","2","1","8","8","6",6,6,6,6,7,5,5.16569782115129,4,4,3,4,4.13721544367422,7,8,7,7,7.01071179242566
"18923","2","1056",1056325,8,7,1,4,8,8,5,2,"7","5","1","8","2","4",5,5,5,5,7,5,5.14194051965163,5,5,2,3,3.4439917865549,5,5,7,5,5.15367647804912
"18932","2","1056",1056111,10,NA,0,0,0,5,0,5,NA,"0","0","0","5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1.27070338056882
"18934","2","1056",NA,3,NA,2,0,5,0,5,10,NA,"5","2","5","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,5,4,4.16343287820749
"18939","2","1056",1056711,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18957","2","1056",1056522,6,3,8,10,10,0,7,10,"3","7","8","10","10","10",8,8,8,8,10,8,8.45206962219186,6,6,3,5,4.61173816482801,10,10,10,10,9.53837434539673
"18960","2","1056",1056322,2,2,2,2,2,2,2,8,"2","2","2","2","8","2",4,4,3,3,2,3,2.95645565936098,3,2,2,3,2.54038795026812,4,5,3,4,3.65218849325906
"18963","2","1056",1056711,7,6,5,6,5,6,8,4,"6","8","5","5","4","6",6,6,6,5,6,6,5.7222662696412,6,6,6,6,6.33114758141351,5,5,5,6,5.62588166218738
"18980","2","1056",1056913,2,8,10,1,10,0,5,10,"8","5","10","10","10","1",9,10,9,10,9,8,8.04981967322559,9,8,8,8,8.38932728332351,6,10,10,7,7.07014624609758
"19003","2","1056",1056322,2,5,2,7,8,2,3,8,"5","3","2","8","8","7",6,6,6,6,7,5,5.3978632528517,4,4,4,4,4.03568377947017,8,8,8,8,7.58301605156432
"19014","2","1056",1056111,5,4,0,0,0,5,5,5,"4","5","0","0","5","0",3,3,2,2,4,3,3.13901267446527,3,3,3,3,3.42019890231355,1,1,0,1,1.27070338056882
"19027","2","1056",1056521,7,5,9,0,8,5,8,5,"5","8","9","8","5","0",6,7,7,7,8,7,6.69374983403308,7,7,8,7,7.41322658950291,3,7,4,3,3.27152210897767
"19039","2","1056",NA,4,5,5,5,7,3,1,7,"5","1","5","7","7","5",6,6,6,6,5,6,5.72261586945661,5,5,5,5,4.98888482270398,6,7,7,6,6.15157242815697
"19047","2","1056",NA,7,8,7,8,9,8,9,2,"8","9","7","9","2","8",7,7,8,7,8,7,7.2893370720171,8,8,8,8,7.62301485211356,7,5,10,8,7.59008640007065
"19066","2","1056",1056522,8,6,5,8,8,3,7,7,"6","7","5","8","7","8",7,7,7,7,8,7,7.1275500386235,6,6,6,6,6.11371947873448,8,8,7,8,7.56563096792152
"19084","2","1056",NA,7,6,10,10,7,5,3,5,"6","3","10","7","5","10",8,7,8,7,8,7,6.95317098536479,7,8,7,6,6.46015649994446,8,5,9,7,7.4264258370702
"19091","2","1056",1056327,3,5,0,0,2,5,5,5,"5","5","0","2","5","0",3,4,3,3,4,4,3.58927712248677,3,3,5,4,3.89295422198909,2,2,0,2,1.96206374183751
"19093","2","1056",1056322,6,NA,1,10,10,0,4,10,NA,"4","1","10","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,9.53837434539673
"19097","2","1056",1056913,8,8,8,3,10,0,7,10,"8","7","8","10","10","3",9,9,9,10,9,8,8.47378324490512,8,8,8,8,7.74753649592918,7,10,10,7,7.14277477394117
"19099","2","1056",1056322,0,7,2,0,3,10,2,0,"7","2","2","3","0","0",3,3,3,3,4,4,3.69484021236684,5,5,3,5,4.63537569681277,1,1,0,1,1.06849486358753
"19104","2","1056",1056913,10,NA,NA,10,4,10,7,0,NA,"7",NA,"4","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,4,4.08655093049801
"19109","2","1056",1056711,9,8,8,5,9,0,7,10,"8","7","8","9","10","5",9,9,9,10,9,8,8.12397599851147,8,8,8,8,7.74753649592918,7,10,9,8,8.0843803960708
"19139","2","1056",1056521,5,5,1,2,2,6,5,4,"5","5","1","2","4","2",4,4,3,3,4,4,3.63053791632965,4,4,5,4,3.76511488616679,3,2,2,3,2.88458561169949
"19144","2","1056",1056335,2,5,0,0,10,0,6,10,"5","6","0","10","10","0",6,6,5,7,6,6,6.07890113383343,4,3,5,4,4.25904573575806,5,10,10,7,7.30708287990738
"19146","2","1056",1056325,3,10,7,5,4,NA,8,NA,"10","8","7","4",NA,"5",NA,NA,NA,NA,NA,NA,NA,8,8,9,8,8.19716544778779,NA,NA,NA,NA,NA
"19152","2","1056",1056327,4,NA,5,0,8,5,5,5,NA,"5","5","8","5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,3,3.27152210897767
"19163","2","1056",NA,2,2,2,2,2,9,9,1,"2","9","2","2","1","2",2,2,2,2,2,3,2.67579594723983,3,3,3,4,3.74278899829084,2,1,2,2,1.99779836238373
"19165","2","1056",1056913,8,8,7,1,7,0,0,10,"8","0","7","7","10","1",7,8,8,8,8,7,6.8409340961423,7,7,9,7,7.43374322089387,5,9,9,7,6.92825379963387
"19174","2","1056",1056111,4,NA,4,1,0,7,0,3,NA,"0","4","0","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1.45177914366549
"19185","2","1056",1056111,8,5,7,7,6,7,6,3,"5","6","7","6","3","7",6,6,6,6,6,6,6.29684120172022,6,7,6,6,6.06078251217926,6,5,8,7,6.70190130823905
"19186","2","1056",1056913,4,2,8,2,10,0,10,10,"2","10","8","10","10","2",7,8,7,8,10,8,7.66372093168918,6,6,9,6,5.84624110045387,6,10,10,7,6.83470549353826
"19189","2","1056",1056913,8,9,8,8,8,0,8,10,"9","8","8","8","10","8",9,9,10,10,9,8,8.40889326787654,8,8,8,8,7.8897728600454,8,9,9,9,8.51514952452767
"19193","2","1056",1056421,5,5,3,2,5,5,5,5,"5","5","3","5","5","2",5,5,5,5,4,4,4.37220995528766,5,5,5,5,4.89538037986492,4,5,3,4,3.5067343484276
"19196","2","1056",1056322,3,6,2,0,NA,1,5,9,"6","5","2",NA,"9","0",NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4.97478705357408,NA,NA,NA,NA,NA
"19209","2","1056",1056913,9,4,8,2,8,8,9,2,"4","9","8","8","2","2",6,6,6,6,8,6,6.33543531436155,6,7,5,6,5.81141146414644,4,5,2,4,3.6580295090651
"19240","2","1056",1056521,5,5,3,0,10,5,5,5,"5","5","3","10","5","0",5,6,5,6,4,5,5.08253534456749,5,5,5,5,4.89538037986492,4,8,3,3,3.26633933696266
"19248","2","1056",1056427,9,5,10,10,5,0,5,10,"5","5","10","5","10","10",8,8,8,8,9,8,7.52992530150202,7,8,5,7,6.6737968852382,9,8,10,9,8.62617835583794
"19268","2","1056",1056913,6,10,10,0,5,5,3,5,"10","3","10","5","5","0",7,8,8,8,5,6,6.32959851156969,9,9,9,8,8.37281764515716,3,5,2,3,2.6885224744579
"19271","2","1056",1056111,1,NA,0,0,4,10,2,0,NA,"2","0","4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1.42690219029935
"19277","2","1056",1056327,3,2,1,1,3,5,2,5,"2","2","1","3","5","1",3,3,2,3,2,2,2.45060961525331,2,2,2,3,2.53087125361443,3,3,3,3,2.65940354226254
"19293","2","1056",1056913,7,6,6,5,8,0,4,10,"6","4","6","8","10","5",7,8,8,8,9,8,7.69873252634474,6,7,7,6,6.33467357434689,7,9,7,8,7.5790235246627
"19298","2","1056",1056427,7,7,7,7,7,7,7,3,"7","7","7","7","3","7",7,6,7,7,7,7,6.86028366736121,7,7,7,7,7.25009927717486,6,5,8,6,6.4547708918393
"19311","2","1056",1056521,4,NA,NA,0,4,NA,1,NA,NA,"1",NA,"4",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19312","2","1056",1056322,5,7,9,2,7,7,6,3,"7","6","9","7","3","2",7,7,7,7,7,7,6.82955132853585,8,8,8,8,7.68487458234237,4,5,2,4,3.77838264089602
"19318","2","1056",1056427,7,5,5,0,2,5,3,5,"5","3","5","2","5","0",4,5,4,5,5,5,4.61065340431915,5,5,5,5,5.23817279625127,2,2,0,2,1.96206374183751
"19323","2","1056",1056327,4,5,5,0,9,5,5,5,"5","5","5","9","5","0",6,6,5,7,7,6,6.09337744556008,5,5,5,6,5.67037365764015,4,8,3,3,3.27907241410214
"19336","2","1056",1056427,7,6,5,5,5,5,5,5,"6","5","5","5","5","5",6,6,6,6,5,6,5.56961995476321,6,6,6,6,6.12780400434104,5,5,5,5,5.09518933055154
"19346","2","1056",NA,7,4,8,0,8,10,0,0,"4","0","8","8","0","0",5,5,5,5,7,5,5.15849997075824,6,6,5,4,4.19024950859,2,4,0,1,1.04720874826352
"19353","2","1056",1056711,10,5,5,2,10,2,1,8,"5","1","5","10","8","2",6,7,7,7,7,6,6.29207078298022,5,5,5,5,4.98888482270398,6,10,8,6,6.29834502243849
"19369","2","1056",NA,NA,NA,2,2,NA,0,7,10,NA,"7","2",NA,"10","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19380","2","1056",NA,5,7,6,0,10,0,5,10,"7","5","6","10","10","0",7,8,8,8,9,7,7.45171224259816,7,7,7,7,6.72396137722116,5,10,10,7,7.30708287990738
"19394","2","1056",1056111,2,2,2,0,7,8,10,2,"2","10","2","7","2","0",3,4,3,4,3,3,3.35132190745036,3,3,3,4,3.64452487426835,3,5,0,2,2.27007852566296
"19419","2","1056",1056913,6,5,6,0,10,7,9,3,"5","9","6","10","3","0",6,6,6,7,7,7,6.76177636093318,6,7,6,6,5.70014494489056,4,7,0,3,2.79455371166993
"19435","2","1056",1056322,2,5,2,NA,5,1,5,9,"5","5","2","5","9",NA,NA,6,NA,5,NA,NA,NA,4,4,5,5,4.65952508845224,NA,7,NA,NA,NA
"19438","2","1056",NA,NA,NA,0,0,10,NA,0,NA,NA,"0","0","10",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19457","2","1056",NA,10,NA,10,0,0,0,5,10,NA,"5","10","0","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,2,2.26033155613895
"19461","2","1056",1056327,0,6,0,0,9,8,5,2,"6","5","0","9","2","0",4,5,4,4,4,4,4.47631462719448,4,4,5,4,3.80633923880261,3,5,0,2,2.43429229853707
"19470","2","1056",1056521,7,7,9,0,8,5,5,5,"7","5","9","8","5","0",7,8,7,8,7,7,6.91475355581049,8,8,8,8,7.70523968052862,3,7,4,3,3.27152210897767
"19476","2","1056",NA,6,8,3,5,6,2,1,8,"8","1","3","6","8","5",6,6,7,7,7,5,5.36113448372066,5,5,3,5,4.53617846926461,6,7,6,6,6.17605127058326
"19484","2","1056",1056913,9,7,5,2,5,2,5,8,"7","5","5","5","8","2",6,7,7,7,6,6,6.10106553247801,6,7,7,6,6.49312282960391,4,6,2,4,4.03566435066189
"19492","2","1056",NA,7,NA,0,0,4,0,0,10,NA,"0","0","4","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,1,4,3.64411611459479
"19507","2","1056",1056327,3,NA,0,2,5,5,5,5,NA,"5","0","5","5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,4,3.5067343484276
"19509","2","1056",NA,8,7,7,7,6,7,6,3,"7","6","7","6","3","7",7,6,7,7,7,7,6.70574045961781,7,7,7,7,7.29776382074623,6,5,8,7,6.70190130823905
"19537","2","1056",NA,5,9,10,0,8,0,8,10,"9","8","10","8","10","0",9,10,9,10,9,8,8.33044712038261,9,9,9,8,8.38773355127561,5,9,9,7,6.63044232032049
"19546","2","1056",1056111,4,3,2,0,3,10,0,0,"3","0","2","3","0","0",2,2,2,2,2,3,2.83230102839094,3,3,3,3,3.18889498909744,1,1,0,1,1.06849486358753
"19547","2","1056",1056522,9,6,7,3,5,8,7,2,"6","7","7","5","2","3",5,6,5,5,6,6,5.91208419834987,7,7,7,7,7.06417837958973,3,3,2,3,2.95588900735776
"19553","2","1056",1056913,8,7,5,0,9,2,9,8,"7","9","5","9","8","0",7,8,7,8,8,7,7.18721519165407,7,7,6,6,6.38218693323657,4,9,1,4,4.11938085527363
"19554","2","1056",1056427,8,1,4,0,0,5,4,5,"1","4","4","0","5","0",3,3,2,3,4,3,3.43078985602157,3,3,4,3,3.38136685089728,1,1,0,1,1.27070338056882
"19559","2","1056",1056711,6,2,2,5,8,1,5,9,"2","5","2","8","9","5",5,5,5,5,3,5,4.60006450239084,3,3,3,3,3.02460201586645,7,9,6,7,7.04317208713915
"19567","2","1056",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19610","2","1056",1056327,4,2,1,1,4,4,6,6,"2","6","1","4","6","1",3,4,3,3,3,3,3.18254064122924,3,2,3,3,2.82865212646141,3,5,3,3,2.74175280931631
"19615","2","1056",1056913,5,7,7,0,8,5,2,5,"7","2","7","8","5","0",6,7,7,7,7,6,6.39809055588147,7,7,7,7,6.63925190712343,3,7,4,3,3.27152210897767
"19624","2","1056",1056711,NA,4,1,3,6,1,4,9,"4","4","1","6","9","3",5,5,5,5,4,4,4.04913579837021,3,3,2,3,3.01978678463617,5,8,6,5,5.41931314184509
"19637","2","1056",NA,NA,NA,0,0,NA,0,0,10,NA,"0","0",NA,"10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19640","2","1056",1056327,4,6,0,3,4,3,2,7,"6","2","0","4","7","3",4,5,4,4,3,4,4.34780869725871,4,3,3,4,3.70913384776709,4,5,4,4,4.07035857589282
"19648","2","1056",1056421,6,4,9,0,7,5,3,5,"4","3","9","7","5","0",6,6,6,7,5,5,5.24932525705674,6,7,4,5,4.75378949603293,3,5,5,4,3.55850957421654
"19665","2","1056",1056913,6,6,5,3,5,4,5,6,"6","5","5","5","6","3",6,6,6,6,5,6,5.53020999497025,6,6,6,6,6.12780400434104,4,5,4,4,4.10650354844949
"19673","2","1056",1056325,1,3,0,1,3,9,3,1,"3","3","0","3","1","1",2,2,2,2,2,2,2.44649323715081,2,2,3,3,2.57140577380907,2,1,1,2,1.59602744691339
"19707","2","1056",1056913,8,7,7,0,7,3,6,7,"7","6","7","7","7","0",7,7,7,8,7,7,6.71087502951254,7,7,7,7,7.29776382074623,4,7,5,4,4.2955676336651
"19712","2","1056",1056111,1,10,10,0,0,0,10,10,"10","10","10","0","10","0",8,8,8,8,10,8,8.03744851527269,10,10,10,9,9.29416072412931,3,3,0,2,2.26033155613895
"19714","2","1056",1056111,8,5,0,5,3,5,1,5,"5","1","0","3","5","5",4,4,4,3,5,4,4.1455977209802,3,3,2,3,3.36303079715703,5,3,5,5,4.85439325674288
"19751","2","1056",1056913,8,7,4,0,10,0,4,10,"7","4","4","10","10","0",7,8,7,8,6,7,6.85442928046048,6,6,5,6,5.95534079763214,5,10,10,7,7.30708287990738
"19780","2","1056",1056335,5,1,9,4,2,0,5,10,"1","5","9","2","10","4",6,6,6,6,8,6,5.76213331336882,5,5,3,4,4.23920969001559,5,5,5,5,4.70026614189768
